marca,modelo,transmision,combustible,propulsion,cilindrada,carroceria,co2,ciudad,carretera,mixto
Land Rover,Defender 110 3.0i XS Edition 7 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i X-DYNAMIC S 7 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i X-DYNAMIC S 5 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i X-DYNAMIC S 6 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i X 5 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i X 6 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
Land Rover,Defender 110 3.0i X 7 Asientos,A,Gasolina/Híbrido,Vehículo Microhíbrido,3.0,Station Wagon,227,8.0,11.8,10.1
M. Benz,S 580 4Matic,A,Gasolina,Combustión,4.0,Sedán,230,6.8,13.5,9.9
Chery,Tiggo 3 Pro 1.5L GLS MT,M,Gasolina,Combustión,1.5,Station Wagon,176,10.6,16.1,13.5
Chery,Tiggo 3 Pro 1.5L GLX MT,M,Gasolina,Combustión,1.5,Station Wagon,176,10.6,16.1,13.5
Chery,Tiggo 3 Pro 1.5L GLS CVT,A,Gasolina,Combustión,1.5,Station Wagon,178,10.4,15.9,13.3
Chery,Tiggo 3 Pro 1.5L GLX CVT,A,Gasolina,Combustión,1.5,Station Wagon,178,10.4,15.9,13.3
Kia,Sportage EX 2.0L 6MT 2WD,M,Gasolina,Combustión,2.0,Station Wagon,175,10.2,15.6,13.0
Kia,Sportage EX 2.0L 6MT AWD,M,Gasolina,Combustión,2.0,Station Wagon,175,10.2,15.6,13.0
Suzuki,SX4 S-Cross 1.4 MT 4WD,M,Gasolina,Combustión,1.4,Station Wagon,154,12.0,17.6,15.0
Suzuki,SX4 S-Cross 1.4 MT 2WD,M,Gasolina,Combustión,1.4,Station Wagon,154,12.0,17.6,15.0
Suzuki,SX4 S-Cross 1.4 AT 4WD,A,Gasolina,Combustión,1.4,Station Wagon,162,11.1,17.2,14.3
Suzuki,SX4 S-Cross 1.4 AT 2WD,A,Gasolina,Combustión,1.4,Station Wagon,162,11.1,17.2,14.3
M. Benz,C 200 Sedan,A,Gasolina,Combustión,1.5,Sedán,154,10.5,19.2,14.7
M. Benz,C 180 Sedan,A,Gasolina,Combustión,1.5,Sedán,154,10.5,19.2,14.7
