marca,modelo,transmision,combustible,propulsion,cilindrada,carroceria,co2,ciudad,carretera,mixto
Kia,"Cadenza YG 3,3 Lts. AT GDI Sedán 4P. T/A",A,Gasolina,Combustión,3.3,Sedán,217,7.4,15.2,11.0
BMW,"420i 2,0 Lts. Coupé 2P. T/A",A,Gasolina,Combustión,2.0,Coupé,144,13.0,19.6,16.5
BMW,"420i Grand Coupé 2,0 Lts. Sedán 4P. T/A",A,Gasolina,Combustión,2.0,Sedán,144,13.0,19.6,16.5
BMW,"420i 2,0 Lts. Cabriolet 2P. T/A",A,Gasolina,Combustión,2.0,Cabriolet,144,13.0,19.6,16.5
Opel,"Astra K 1,6 Lts. Turbo MT HB5 Hatchback 5P. T/M",M,Gasolina,Combustión,1.6,Hatchback,165,10.6,18.2,14.4
Foton,"Midi Cargo 1,2 Lts. Furgón 5P. T/M",M,Gasolina,Combustión,1.2,Furgón,171,10.6,17.0,13.9
Foton,"Midi Cargo L 1,2 Lts. Furgón 5P. T/M",M,Gasolina,Combustión,1.2,Furgón,171,10.6,17.0,13.9
Foton,"K1 2,0 Lts. Minibus 14 asientos 3P. T/M",M,Gasolina,Combustión,2.0,Minibus,256,7.1,11.2,9.2
Foton,"K1 2,0 Lts. Minibus 10 asientos 3P. T/M",M,Gasolina,Combustión,2.0,Minibus,256,7.1,11.2,9.2
Foton,"K1 Cargo 2,0 Lts. Furgón 2P. T/M",M,Gasolina,Combustión,2.0,Furgón,256,7.1,11.2,9.2
Foton,"K1 2,0 Lts. Minibus 15 asientos 3P. T/M",M,Gasolina,Combustión,2.0,Minibus,256,7.1,11.2,9.2
Chevrolet,"Sail 1,5 Lts. Sedán 4P. T/A ",A,Gasolina,Combustión,1.5,Sedán,149,12.1,19.5,15.9
Suzuki,"Alto 800 0,8 Lts. Hatchback 5P. T/M",M,Gasolina,Combustión,0.8,Hatchback,116,17.4,22.7,20.4
M. Benz,"E200 2,0 Lts. Sedán 4P. T/A",A,Gasolina,Combustión,2.0,Sedán,168,10.9,16.9,14.1
Porsche,"911 Turbo S 3,8 Lts. Coupé 2P. T/A",A,Gasolina,Combustión,3.8,Coupé,207,8.5,13.3,11.0
Porsche,"911 Turbo S 3,8 Lts. Cabriolet 2P. T/A",A,Gasolina,Combustión,3.8,Cabriolet,207,8.3,13.2,10.8
Peugeot,"Allure 2008 1,6 Lts. Blue-HDi 100hp Station Wagon 5P. T/M",M,Diésel,Combustión,1.6,Station Wagon,105,20.9,28.5,25.1
Peugeot,"Active Pack 2008 1,6 Lts. Blue-HDi 100hp Station Wagon 5P. T/M",M,Diésel,Combustión,1.6,Station Wagon,105,20.9,28.5,25.1
Chevrolet,"Cobalt 1,8 Lts. Sedán 4P. T/A",A,Gasolina,Combustión,1.8,Sedán,192,8.8,16.2,12.4
Chevrolet,"Cobalt 1,8 Lts. Sedán 4P. T/M",M,Gasolina,Combustión,1.8,Sedán,177,9.9,17.0,13.4
BMW,"430i Grand Coupé 2,0 Lts. Sedán 4P. T/A",A,Gasolina,Combustión,2.0,Sedán,154,12.0,18.4,15.4
BMW,"430i 2,0 Lts Coupé 2P. T/A",A,Gasolina,Combustión,2.0,Coupé,154,12.0,18.4,15.4
BMW,"430i 2,0 Lts. Cabriolet 2P. T/A",A,Gasolina,Combustión,2.0,Cabriolet,154,12.0,18.4,15.4
McLaren,"570S 3,8 Lts. Coupé 2P. T/A",A,Gasolina,Combustión,3.8,Coupé,249,6.1,13.5,9.3
McLaren,"540C 3,8 Lts. Coupé 2P. T/A Otto",A,Gasolina,Combustión,3.8,Coupé,249,6.1,13.5,9.3
McLaren,"570GT 3,8 Coupé 2P. T/A Otto",A,Gasolina,Combustión,3.8,Coupé,249,6.1,13.5,9.3
McLaren,"570S Spider 3,8 Lts. Convertible 2P. T/A Otto",A,Gasolina,Combustión,3.8,Cabriolet,249,6.1,13.5,9.3
Honda,"Civic EXTL 2Door 1,5 Lt. Coupé 2P. T/A",A,Gasolina,Combustión,1.5,Coupé,139,12.7,21.2,17.0
Honda,"Civic EXT 2Door 1,5 Lt. Coupé 2P. T/A",A,Gasolina,Combustión,1.5,Coupé,139,12.7,21.2,17.0
Chevrolet,"Prisma 1,4 Lts. Sedán 4P. T/A",A,Gasolina,Combustión,1.4,Sedán,165,10.7,17.7,14.3
Chevrolet,"Onix 1,4 Lts. Hatchback 5P. T/A",A,Gasolina,Combustión,1.4,Hatchback,165,10.7,17.7,14.3
Toyota,"Hilux 2,7 Lts. Pick Up 4P. T/M 4x2",M,Gasolina,Combustión,2.7,Camioneta,264,6.9,10.9,9.0
M. Benz,"C200 2,0 Lts. Coupé 2P. T/A",A,Gasolina,Combustión,2.0,Coupé,162,10.8,18.4,14.6
M. Benz,"C200 2,0 Lts. Sedán 4P. T/A",A,Gasolina,Combustión,2.0,Sedán,162,10.8,18.4,14.6
Chevrolet,"Onix 1,4 Lts. Hatchback 5P. T/M",M,Gasolina,Combustión,1.4,Hatchback,161,11.0,18.4,14.7
Chevrolet,"Prisma 1,4 Lts. Sedán 4P. T/M",M,Gasolina,Combustión,1.4,Sedán,161,11.0,18.4,14.7
Chevrolet,"Onix 1,4 Lts. Hatchback 5P. T/M",M,Gasolina,Combustión,1.4,Hatchback,162,10.9,18.2,14.6
Chevrolet,"Prisma 1,4 Lts. Sedán 4P. T/M",M,Gasolina,Combustión,1.4,Sedán,162,10.9,18.2,14.6
Infiniti,QX30 1.6T,A,Gasolina,Combustión,1.6,Station Wagon,165,10.0,19.2,14.4
Infiniti,QX30 1.6 AUT,A,Gasolina,Combustión,1.6,Station Wagon,165,10.0,19.2,14.4
M. Benz,"E 220d 2,0 Lts. Sedán 4P. T/A",A,Diésel,Combustión,2.0,Sedán,125,17.7,24.7,21.6
M. Benz,"E 220d 4Matic All-Terrain 2,0 Lts. Station Wagon 5P. T/A Diésel    ",A,Diésel,Combustión,2.0,Station Wagon,125,17.7,24.7,21.6
Audi,"S8 4,0 Lts. Sedán 4P. T/A",A,Gasolina,Combustión,4.0,Sedán,231,7.3,12.7,10.0
Suzuki,"SX4 S-Cross 1,4 Lts. DIT Hatchback 5P. T/A",A,Gasolina,Combustión,1.4,Hatchback,164,10.8,18.0,14.5
Suzuki,"SX4 S-Cross 1,4 Lts. DIT Hatchback 5P. T/M",M,Gasolina,Combustión,1.4,Hatchback,154,12.3,18.1,15.4
M. Benz,"A 250 Sport 2,0 Lts. Hatchback 5P. T/M",M,Gasolina,Combustión,2.0,Hatchback,194,8.8,15.5,12.1
Honda,"Ridgeline RTL 3,5 Lts. Camioneta 4P. T/A 4x4",A,Gasolina,Combustión,3.5,Camioneta,253,6.8,12.1,9.4
Honda,"Ridgeline RT 3,5 Lts. Camioneta 4P. T/A 4x4",A,Gasolina,Combustión,3.5,Camioneta,253,6.8,12.1,9.4
Ssangyong,"Actyon Sport 2,2 Lts. Camioneta 4P. T/M",M,Diésel,Combustión,2.2,Camioneta,188,11.4,16.3,14.1
Chevrolet,"Spin 1,8 Lts. Station Wagon, 7 Asientos 5P. T/A",A,Gasolina,Combustión,1.8,Station Wagon,194,8.8,15.7,12.2
Chevrolet,"Spin Activ 7 1,8 Lts. Station Wagon 5P. 7 Asientos T/A Otto",A,Gasolina,Combustión,1.8,Station Wagon,194,8.8,15.7,12.2
Chevrolet,"Spin Activ 7 1,8 Lts. Station Wagon 5P. 7 Asientos T/A Otto",A,Gasolina,Combustión,1.8,Station Wagon,194,8.8,15.7,12.2
Toyota,"Yaris 1,5 Lts. Sedán 4P. T/M",M,Gasolina,Combustión,1.5,Sedán,139,13.2,20.6,17.1
Toyota,"Yaris 1,5 Lts. Hatchback 5P. T/M",M,Gasolina,Combustión,1.5,Hatchback,139,13.2,20.6,17.1
Citroen,"C3 1,6 Lts. HDi Hatchback 5P. T/M",M,Diésel,Combustión,1.6,Hatchback,108,20.5,27.3,24.4
Toyota,"Yaris 1,5 Lts. Sedán 4P. T/A",A,Gasolina,Combustión,1.5,Sedán,140,12.9,20.7,17.0
Toyota,"Yaris 1,5 Lts. Hatchback 5P. T/A",A,Gasolina,Combustión,1.5,Hatchback,140,12.9,20.7,17.0
Great Wall,"Wingle 5 2,0 Lts. Camioneta 4P. T/M 4x4",M,Diésel,Combustión,2.0,Camioneta,208,9.9,15.2,12.7
Great Wall,"Wingle 5 2,0 Lts. Camioneta 2P. T/M 4x4",M,Diésel,Combustión,2.0,Camioneta,208,9.9,15.2,12.7
Renault,"Koleos 2,0 Lts. Station Wagon 5P. T/M",M,Gasolina,Combustión,2.0,Station Wagon,202,8.9,14.5,11.8
Volvo,"V40 T3 2,0 Lts. Hatchback 5P. T/M",M,Gasolina,Combustión,2.0,Hatchback,172,9.5,18.8,13.8
Volvo,"XC90 D5 2,0 Lts. Station Wagon 5P. T/A",A,Diésel,Combustión,2.0,Station Wagon,154,15.9,17.9,16.9
Toyota,"Hilux 2,4 Lts. Camioneta 4P. T/M 4x2",M,Diésel,Combustión,2.4,Camioneta,192,11.6,15.5,13.8
Toyota,"Hilux 2,4 Lts. Camioneta 4P. T/M 4x4",M,Diésel,Combustión,2.4,Camioneta,192,11.6,15.5,13.8
Toyota,"Hilux 2,4 Lts. Camioneta 2P. T/M 4x4",M,Diésel,Combustión,2.4,Camioneta,192,11.6,15.5,13.8
Toyota,"Hilux 2,8 Lts. Camioneta 4P. T/A 4x4",A,Diésel,Combustión,2.8,Camioneta,227,9.1,13.9,11.7
Kenbo,"S3 1,8 Lts. Station Wagon 5P. T/M Otto",M,Gasolina,Combustión,1.8,Station Wagon,200,8.9,14.8,11.9
Toyota,"Hilux 2,8 Lts. Camioneta 4P. T/M 4x4",M,Diésel,Combustión,2.8,Camioneta,205,10.7,14.5,12.9
Volvo,"S90 T6 2,0 Lts. Sedán 4P. T/A 4x4",A,Gasolina,Combustión,2.0,Sedán,165,10.5,16.9,13.9
Volvo,"V90 T6 2,0 Lts. Station Wagon 5P. T/A 4x4",A,Gasolina,Combustión,2.0,Station Wagon,169,10.4,16.4,13.5
Volvo,"XC60 T5 2,0 Lts. Station Wagon 5P. T/A AWD",A,Gasolina,Combustión,2.0,Station Wagon,183,9.7,15.6,12.8
DS,"DS5 2,0 Lts. Hdi Hatchback 5P. T/A",A,Diésel,Combustión,2.0,Hatchback,128,17.9,22.6,20.6
Ford,"Fusion 2,5 Lts. Sedán 4P. T/A",A,Gasolina,Combustión,2.5,Sedán,231,7.3,12.8,10.0
Suzuki,"Ignis 1,2 Lts. Hatchback 5P. T/M",M,Gasolina,Combustión,1.2,Hatchback,118,16.5,23.0,20.1
Chevrolet,"Spin 1,8 Lts. Station Wagon, 7 Asientos 5P. T/M",M,Gasolina,Combustión,1.8,Station Wagon,194,9.2,15.2,12.3
Peugeot,"2008 Allure Pack 1,2 Lts. Puretech 110HP Station Wagon 5P. T/A",A,Gasolina,Combustión,1.2,Station Wagon,131,13.9,21.8,18.0
Peugeot,"301 Allure 1,6 Lts. VTi 115HP Sedán 4P. T/A",A,Diésel,Combustión,1.6,Sedán,167,10.1,18.4,14.2
Peugeot,"301 Active Pack 1,6 Lts. VTi 115HP Sedán 4P. T/A",A,Diésel,Combustión,1.6,Sedán,167,10.1,18.4,14.2
Toyota,"Rush 1,5 Lts. Station Wagon 5P. T/A 4x4",A,Gasolina,Combustión,1.5,Station Wagon,178,10.3,15.6,13.2
Toyota,"Rush 1,5 Lts. Station Wagon 5P. T/A 4x2",A,Gasolina,Combustión,1.5,Station Wagon,178,10.3,15.6,13.2
Toyota,"Rush 1,5 Lts. Station Wagon 5P. T/M 4x4",M,Gasolina,Combustión,1.5,Station Wagon,173,11.1,15.6,13.5
Toyota,"Rush 1,5 Lts. Station Wagon 5P. T/M 4x2",M,Gasolina,Combustión,1.5,Station Wagon,173,11.1,15.6,13.5
Suzuki,"Ignis 1,2 Lts. Hatchback 5P. T/A",A,Gasolina,Combustión,1.2,Hatchback,131,14.2,21.2,17.9
Skoda,"Octavia Scout 2,0 Lts. Station Wagon 5P. 4x4 T/A",A,Diésel,Combustión,2.0,Station Wagon,129,17.9,21.7,20.0
Porsche,"718 Boxter S 2,5 Lts. Cabriolet 2P. T/A",A,Gasolina,Combustión,2.5,Cabriolet,236,6.7,14.2,10.1
Porsche,"718 Cayman S 2,5 Lts. Coupé 2P. T/A",A,Gasolina,Combustión,2.5,Coupé,236,6.7,14.2,10.1
Volvo,"S60 D4 2,0 Lts. Sedán 4P. T/A",A,Diésel,Combustión,2.0,Sedán,147,13.3,22.6,18.0
Citroen,"C4 1,6 Lts. HDi Hatchback 5P. T/A STT",A,Diésel,Combustión,1.6,Hatchback,113,20.4,25.6,23.4
Citroen,"C-Elysée 1,6 Lts. Sedán 4P. T/A",A,Gasolina,Combustión,1.6,Sedán,172,9.9,17.8,13.8
Volvo,"S60 T3 1,5 Lts. Sedán 4P. T/A",A,Gasolina,Combustión,1.5,Sedán,187,9.1,17.1,12.9
DS,"DS4 2,0 Lts. HDi Hatchback 5P. T/A",A,Diésel,Combustión,2.0,Hatchback,123,17.8,24.3,21.5
Skoda,"Octavia Scout 1,8 Lts. Station Wagon 5P. 4x4 T/A",A,Gasolina,Combustión,1.8,Station Wagon,156,12.3,17.5,15.2
Citroen,"C4 Cactus 1,2 Lts. VTi Hatchback 5P. T/M",M,Gasolina,Combustión,1.2,Hatchback,116,15.9,24.1,20.4
Hyundai,"Veloster FS 1,6 Lts. GDi Turbo Hatchback 4P. T/A",A,Gasolina,Combustión,1.6,Hatchback,167,10.8,17.5,14.3
Hyundai,"Veloster FS 1,6 Lts. GDi Turbo Hatchback 4P. T/M",M,Gasolina,Combustión,1.6,Hatchback,178,9.8,17.0,13.4
Volvo,"V40 CC T4 2,0 Lts. Hatchback 5P. T/A",A,Gasolina,Combustión,2.0,Hatchback,161,11.1,17.5,14.5
DS,"DS3 1,2 Lts. STT Hatchback 2P. T/M",M,Gasolina,Combustión,1.2,Hatchback,128,14.4,22.0,18.4
DS,"DS3 1,2 Lts. STT Hatchback 2P. T/A ",A,Gasolina,Combustión,1.2,Hatchback,128,14.5,21.9,18.4
Opel,"Astra K HB 1,4 Lts. Turbo Hatchback 5P. T/A",A,Gasolina,Combustión,1.4,Hatchback,154,11.1,19.0,15.1
M. Benz,"Sprinter 316 2,1 Lts. Cdi Furgón 10m3, 4P. T/M",M,Diésel,Combustión,2.1,Furgón,228,9.5,13.2,11.6
M. Benz,"Sprinter 316 2,1 Lts. Cdi Furgón 14 m3. 4P. T/M",M,Diésel,Combustión,2.1,Furgón,228,9.5,13.2,11.6
M. Benz,"Sprinter 316 2,1 Lts. Minibus 13 Asientos 3P. T/M Diésel",M,Diésel,Combustión,2.1,Minibus,228,9.5,13.2,11.6
M. Benz,"Sprinter 316 2,1 Lts. Minibus 16 Asientos 3P. T/M Diésel",M,Diésel,Combustión,2.1,Minibus,228,9.5,13.2,11.6
Citroen,"Berlingo MultiS.p.A.ce 1,6 Lts. HDi Station Wagon 5P. T/M",M,Diésel,Combustión,1.6,Station Wagon,149,15.8,19.1,17.4
Brilliance,"H2L 2,8 Lts. CRDi Minibus 14 Asientos 4P. TM Diésel",M,Diésel,Combustión,2.8,Minibus,271,7.8,11.4,9.7
Brilliance,"H2L 2,8 Lts. CRDi Minibus 13 Asientos 4P. TM Diésel",M,Diésel,Combustión,2.8,Minibus,271,7.8,11.4,9.7
Brilliance,"H2L 2,8 Lts. CRDi Escolar Minibus 23 Asientos 4P. TM Diésel",M,Diésel,Combustión,2.8,Minibus,271,7.8,11.4,9.7
Brilliance,"H2L 2,8 Lts. CRDi Furgón 4P. TM Diésel",M,Diésel,Combustión,2.8,Furgón,271,7.8,11.4,9.7
Audi,"Q7 3,0 Lts. Station Wagon 7 Asientos 5P. T/A Otto",A,Gasolina,Combustión,3.0,Station Wagon,183,10.4,14.5,12.7
Audi,"Q7 3,0 Lts. Station Wagon 5 Asientos 5P. T/A Otto",A,Gasolina,Combustión,3.0,Station Wagon,179,10.6,14.7,13.0
Kenbo,"S2 1,5 Lts. Station Wagon 5P. T/M Otto",M,Gasolina,Combustión,1.5,Station Wagon,184,9.6,16.1,12.9
M. Benz,"CLA 220d 2,1 Lts. Sedán 4P. T/A",A,Diésel,Combustión,2.1,Sedán,131,15.9,23.7,20.1
M. Benz,"CLA 200d 2,1 Lts. Sedán 4P. T/A",A,Diésel,Combustión,2.1,Sedán,131,15.9,23.7,20.1
Porsche,"718 Boxster 2,0 Lts. Cabriolet 2P. T/A",A,Gasolina,Combustión,2.0,Cabriolet,163,11.2,18.2,14.7
Porsche,"718 Cayman 2,0 Lts. Coupé 2P. T/A",A,Gasolina,Combustión,2.0,Coupé,163,11.2,18.2,14.7
Suzuki,"SX4 S-Cross 1,6 Lts. Station Wagon 5P. T/M 4x4",M,Gasolina,Combustión,1.6,Station Wagon,150,12.7,18.3,15.8
Suzuki,"SX4 S-Cross 1,6 Lts. Station Wagon 5P. T/M 4x2",M,Gasolina,Combustión,1.6,Station Wagon,150,12.7,18.3,15.8
Suzuki,"SX4 S-Cross 1,6 Lts. Station Wagon 5P. T/A 4x4",A,Gasolina,Combustión,1.6,Station Wagon,160,11.5,17.8,14.8
Suzuki,"SX4 S-Cross 1,6 Lts. Station Wagon 5P. T/A 4x2",A,Gasolina,Combustión,1.6,Station Wagon,160,11.5,17.8,14.8
Audi,"R8 Plus 5,2 Lts. Coupé 2P. T/A 4x4",A,Gasolina,Combustión,5.2,Coupé,287,5.7,10.8,8.1
Audi,"R8 5,2 Lts. Coupé 2P. T/A 4x4",A,Gasolina,Combustión,5.2,Coupé,272,6.0,11.9,8.8
Audi,"R8 5,2 Lts. Convertible 2P. T/A 4x4",A,Gasolina,Combustión,5.2,Cabriolet,277,5.9,11.5,8.5
Porsche,"911 Targa 4S 3,0 Lts. Cabriolet 2P. T/A",A,Gasolina,Combustión,3.0,Cabriolet,181,9.8,14.9,12.7
Citroen,"C4 STT 1,2 Lts. Hatchback 5P. T/A",A,Gasolina,Combustión,1.2,Hatchback,136,13.3,21.1,17.8
Peugeot,"208 Active Pack 1,2 Lts. Pure Tech 110HP Hatchback 5P. T/A Otto",A,Gasolina,Combustión,1.2,Hatchback,135,13.3,21.4,17.5
Peugeot,"208 GT-Line 1,2 Lts. Pure Tech 110HP Hatchback 5P. T/A Otto",A,Gasolina,Combustión,1.2,Hatchback,135,13.3,21.4,17.5
Chery,"Grand Tiggo 1,5 Lts. Station Wagon 5P. T/M Otto ",M,Gasolina,Combustión,1.5,Station Wagon,181,10.2,15.8,13.1
Hyundai,"Ioniq AE 1,6 Lts. GDI Automóvil 4P. Hibrido T/A",A,Gasolina/Híbrido,Vehículos híbridos sin recarga exterior,1.6,Hatchback,95,21.5,27.8,25.1
Chevrolet,"Cruze 1,4 Lts. T MT Sedán 4P. T/M Otto",M,Gasolina,Combustión,1.4,Sedán,158,11.2,18.6,14.9
Chevrolet,"Cruze 1,4 Lts. T MT Hatchback 5P. T/M Otto ",M,Gasolina,Combustión,1.4,Hatchback,158,11.2,18.6,14.9
Jac,"S3 1,6 Lts. Hatchback 5P. T/M Otto ",M,Gasolina,Combustión,1.6,Hatchback,160,10.4,19.8,14.8
Jac,"Grand S3 1,6 Lts. Hatchback 5P. T/M Otto",M,Gasolina,Combustión,1.6,Hatchback,160,10.4,19.8,14.8
Jac,JS3 1.6 T/M,M,Gasolina,Combustión,1.6,Hatchback,160,10.4,19.8,14.8
Jac,"S3 1,6 Lts. Hatchback 5P. T/A Otto ",A,Gasolina,Combustión,1.6,Hatchback,151,11.5,19.8,15.7
Jac,"Grand S3 1,6 Lts. Hatchback 5P. T/A Otto",A,Gasolina,Combustión,1.6,Hatchback,151,11.5,19.8,15.7
Jac,JS3 1.6 CVT,A,Gasolina,Combustión,1.6,Hatchback,151,11.5,19.8,15.7
M. Benz,"C 63 AMG S Coupé 4,0 Lts. 2P. T/A Otto",A,Gasolina,Combustión,4.0,Coupé,241,6.9,13.1,9.8
M. Benz,"C 63 AMG Coupé 4,0 Lts. 2P. T/A Otto",A,Gasolina,Combustión,4.0,Coupé,241,6.9,13.1,9.8
M. Benz,"C 63 AMG Cabrio S 4,0 Lts. 2P. T/A Otto",A,Gasolina,Combustión,4.0,Cabriolet,241,6.9,13.1,9.8
Volvo,"S90 D5 2,0 Lts. Sedán 4P. T/A Diésel",A,Diésel,Combustión,2.0,Sedán,135,16.7,21.7,19.6
Volvo,"V90 D5 2,0 Lts. Station Wagon 5P. T/A Diésel",A,Diésel,Combustión,2.0,Station Wagon,135,16.7,20.8,19.2
Peugeot,"308 1,2 Lts. Pure Tech 110HP Hatchback 5P. T/M Otto",M,Gasolina,Combustión,1.2,Hatchback,120,15.4,23.7,19.8
M. Benz,"C 43 AMG 4Matic 3,0 Lts. Coupé 2P. 4x4 T/A Otto",A,Gasolina,Combustión,3.0,Coupé,185,9.2,15.4,12.3
M. Benz,"C 43 AMG 4Matic 3,0 Lts. Sedán 4P. 4x4 T/A Otto",A,Gasolina,Combustión,3.0,Sedán,247,9.3,15.6,12.5
M. Benz,"C 43 AMG 4Matic 3,0 Lts. Cabriolet 2P. 4x4 T/A Otto ",A,Gasolina,Combustión,3.0,Cabriolet,194,8.9,14.5,11.9
Ford,"Fusion 2,0 Lts. Sedán 4P. T/A Otto ",A,Gasolina,Combustión,2.0,Sedán,231,7.3,12.8,10.0
Nissan,KICKS (P15) 1.6 MT 4x2,M,Gasolina,Combustión,1.6,Station Wagon,162,11.1,18.0,14.6
M. Benz,"CLA 250 2,0 Lts. Sedán 4P. T/A Otto",A,Gasolina,Combustión,2.0,Sedán,168,10.2,18.3,14.1
M. Benz,"CLA 250 Sport 2,0 Lts. Sedán 4P. T/A Otto",A,Gasolina,Combustión,2.0,Sedán,168,10.2,18.3,14.1
Volvo,"S60CC D4 2,4 Lts. Sedán 4P. T/A 4x4 Diésel",A,Diésel,Combustión,2.4,Sedán,154,14.5,19.2,17.2
Porsche,"Cayenne Turbo S E2 4,8 Lts. Station Wagon 5P. T/A 4x4 Otto",A,Gasolina,Combustión,4.8,Station Wagon,270,6.3,11.2,8.7
Suzuki,"Ciaz 1,4 Lts. Sedán 4P. T/M Otto",M,Gasolina,Combustión,1.4,Sedán,134,13.8,21.2,17.7
Suzuki,"Ciaz 1,4 Lts. Sedán 4P. T/A Otto",A,Gasolina,Combustión,1.4,Sedán,143,12.5,20.4,16.6
Chevrolet,"Montana 1,8 Lts. Camioneta 2P. T/M Otto",M,Gasolina,Combustión,1.8,Camioneta,191,9.3,15.4,12.4
M. Benz,"E300 2,0 Lts. Sedán 4P. T/A Otto",A,Gasolina,Combustión,2.0,Sedán,174,10.3,16.7,13.7
M. Benz,"S 500 4,7 Lts. Sedán 4P. T/A Otto ",A,Gasolina,Combustión,4.7,Sedán,264,5.8,13.7,9.0
Nissan,MARCH (K13) 1.6 MT 4x2,M,Gasolina,Combustión,1.6,Hatchback,155,11.6,18.8,15.3
Nissan,VERSA (N17) 1.6 MT 4x2,M,Gasolina,Combustión,1.6,Sedán,157,11.4,18.6,15.1
Nissan,V-DRIVE (N17) 1.6 MT 4x2,M,Gasolina,Combustión,1.6,Sedán,157,11.4,18.6,15.1
Porsche,"911 R 4,0 Lts. Coupé 2P. T/M Otto",M,Gasolina,Combustión,4.0,Coupé,320,5.0,10.8,7.5
Audi,"A3 1,4 Lts. Hatchback 5P. T/M Otto",M,Gasolina,Combustión,1.4,Hatchback,137,13.2,21.1,17.4
Audi,"A3 1,4 Lts. Hatchback 3P. T/M Otto",M,Gasolina,Combustión,1.4,Hatchback,137,13.2,21.1,17.4
Audi,"A3 1,4 Lts. Sedán 4P. T/M Otto",M,Gasolina,Combustión,1.4,Sedán,137,13.2,21.1,17.4
Audi,"A3 1,4 Lts. Convertible 2P. T/M Otto",M,Gasolina,Combustión,1.4,Cabriolet,137,13.2,21.1,17.4
Audi,"A3 1,4 Lts. Hatchback 3P. T/A Otto",A,Gasolina,Combustión,1.4,Hatchback,141,13.0,20.3,16.8
Audi,"A3 1,4 Lts. Hatchback 5P. T/A Otto ",A,Gasolina,Combustión,1.4,Hatchback,141,13.0,20.3,16.8
Audi,"A3 1,4 Lts. Sedán 4P. T/A Otto",A,Gasolina,Combustión,1.4,Sedán,141,13.0,20.3,16.8
Audi,"A3 1,4 Lts. Convertible 2P. T/A Otto",A,Gasolina,Combustión,1.4,Cabriolet,141,13.0,20.3,16.8
Volvo,"V60 CC T5 2,0 Lts. Station Wagon 5P. T/A AWD Otto",A,Gasolina,Combustión,2.0,Station Wagon,175,10.1,16.4,13.3
Volvo,"S60 CC T5 2,0 Lts. Sedán 4P. T/A AWD Otto",A,Gasolina,Combustión,2.0,Sedán,175,10.1,16.4,13.3
Skoda,"Superb 1,8 Lts. Sedán 4P. T/A Otto",A,Gasolina,Combustión,1.8,Sedán,150,12.4,18.8,15.8
Skoda,"Superb 1,8 Lts. Station Wagon 5P. T/A Otto",A,Gasolina,Combustión,1.8,Station Wagon,150,12.4,18.8,15.8
Ford,"Ka 1,2 Lts. Hatchback 5P. T/M Otto",M,Gasolina,Combustión,1.2,Hatchback,148,12.4,19.3,16.0
Ford,"Ka 1,2 Lts. Sedán 4P. T/M Otto",M,Gasolina,Combustión,1.2,Sedán,148,12.4,19.3,16.0
Hyundai,"HD35 (LWB) 2,5 Lts. Camioneta 2P. T/M Diésel",M,Diésel,Combustión,2.5,Camioneta,243,6.6,11.5,9.0
Hyundai,"HD35 (SWB) 2,5 Lts. Chasis Cabina 2P. T/M Diésel",M,Diésel,Combustión,2.5,Camioneta,243,6.6,11.5,9.0
Hyundai,"HD35 (LWB) 2,5 Lts. Chasis Cabina 2P. T/M Diésel",M,Diésel,Combustión,2.5,Camioneta,243,6.6,11.5,9.0
Jaguar,"XE 2,0 Lts. D Sedán 4P. T/A Diésel",A,Diésel,Combustión,2.0,Sedán,125,18.3,23.4,21.1
Hyundai,"Azera HG 3,3 Lts. Sedán 4P. T/A Otto",A,Gasolina,Combustión,3.3,Sedán,221,7.4,14.6,10.8
Land Rover,"Range Rover Evoque T 2,0 Lts. Cabriolet 2P. T/A 4x4 Otto",A,Gasolina,Combustión,2.0,Cabriolet,204,8.6,14.1,11.4
ZNA Dongfeng,"New Succe 7P (ZN6450V1A5) 1,6 Lts. Station Wagon 7 Asientos 5P. T/M Otto",M,Gasolina,Combustión,1.6,Station Wagon,178,11.0,15.2,13.3
ZNA Dongfeng,"New Succe 5P (ZN6450V1A5) 1,6 Lts. Station Wagon 5 Asientos 5P. T/M Otto",M,Gasolina,Combustión,1.6,Station Wagon,178,11.0,15.2,13.3
ZNA Dongfeng,"New Succe Cargo (ZN6450V1A5) 1,6 Lts. Furgón 5P. T/M Otto",M,Gasolina,Combustión,1.6,Furgón,178,11.0,15.2,13.3
BMW,"120i 2,0 Lts. Hatchback 5P. T/A Otto",A,Gasolina,Combustión,2.0,Hatchback,171,11.7,15.3,13.7
BMW,"120i 2,0 Lts. Hatchback 3P. T/A Otto",A,Gasolina,Combustión,2.0,Hatchback,171,11.7,15.3,13.7
DFM,"A30 1,6 Lts. Sedán 4P. T/A Otto ",A,Gasolina,Combustión,1.6,Sedán,167,10.5,17.7,14.1
DFM,"A30 1,6 Lts. Hatchback 5P. T/A Otto",A,Gasolina,Combustión,1.6,Hatchback,167,10.5,17.7,14.1
Great Wall,"Wingle 5 2,0 Camioneta 4P. T/M Diésel",M,Diésel,Combustión,2.0,Camioneta,198,10.4,16.1,13.4
Great Wall,"Wingle 5 2,0 Camioneta 2P. T/M Diésel",M,Diésel,Combustión,2.0,Camioneta,198,10.4,16.1,13.4
Ssangyong,"Actyon Sport 2,2 Lts. Camioneta 4P. T/M Diésel ",M,Diésel,Combustión,2.2,Camioneta,201,10.6,15.3,13.1
